Planet,Mass (kg),Diameter (km),Density (kg/m^3),Gravity (m/s^2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours),Distance from Sun (10^6 km),Perihelion (km),Aphelion (km),Semi-Major Axis (km),Orbital Period (years),Orbital Velocity (km/s),Orbital Inclination (deg),Orbital Eccentricity,Obliquity to Orbit (deg),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?,Diameter (AU),Perihelion (AU),Aphelion (AU),Semi-Major Axis (AU)
Mercury,3.3e+23 kg,4879,5429,3.7,4.3,1407.6,4222.6,57.9,460000000.0 km,698000000.0 km,579000000.0 km,88.0 yr,47.4,7.0,0.206,0.034,167,0.0,0,No,Yes,3.261410056954775e-05,3.0749100762434853 km,4.665841811343376 km,3.8703759437934306 km
Venus,4.87e+24 kg,12104,5243,8.9,10.4,-5832.5,2802.0,108.2,1075000000.0 km,1089000000.0 km,1082000000.0 km,224.7 yr,35.0,3.4,0.007,177.4,464,92.0,0,No,No,8.091024252793728e-05,7.1859311564385795 km,7.279515376150338 km,7.232723266294459 km
Earth,5.969999999999999e+24 kg,12756,5514,9.8,11.2,23.9,24.0,149.6,1471000000.0 km,1521000000.0 km,1496000000.0 km,365.2 yr,29.8,0.0,0.017,23.4,15,1.0,1,No,Yes,8.52685933316563e-05,9.833027656856885 km,10.167257012970307 km,10.000142334913596 km
Moon,7.3e+22 kg,3475,3340,1.6,2.4,655.7,708.7,0.384,3630000.0 km,4060000.0000000005 km,3845000.0 km,27.3 yr,1.0,5.1,0.055,6.7,-20,0.0,0,No,No,2.322894024988285e-05,0.02426505125383446 km,0.027139423716409896 km,0.025702237485122178 km
Mars,6.42e+23 kg,6792,3934,3.7,5.0,24.6,24.7,228.0,2067000000.0 km,2493000000.0 km,2280000000.0 km,687.0 yr,24.1,1.8,0.094,25.2,-65,0.01,2,No,No,4.540171573444729e-05,13.817041581728878 km,16.664675695815237 km,15.240858638772059 km
Jupiter,1.898e+27 kg,142984,1326,23.1,59.5,9.9,9.9,778.5,7406000000.0 km,8164000000.0 km,7785000000.0 km,4331.0 yr,13.1,1.3,0.049,3.1,-110,,95,Yes,Yes,0.0009557890050904315,49.506052227520115 km,54.5729692661996 km,52.039510746859854 km
Saturn,5.68e+26 kg,120536,687,9.0,35.5,10.7,10.7,1432.0,13576000000.0 km,15065000000.0 km,14320500000.0 km,10747.0 yr,9.7,2.5,0.052,26.7,-140,,274,Yes,Yes,0.0008057333933697494,90.74995477191644 km,100.70330499697414 km,95.72662988444529 km
Uranus,8.68e+25 kg,51118,1270,8.7,21.3,-17.2,17.2,2867.0,27327000000.0 km,30014000000.0 km,28670500000.0 km,30589.0 yr,6.8,0.8,0.047,97.8,-195,,28,Yes,Yes,0.0003417027245161184,182.66971229022982 km,200.63119788776515 km,191.6504550889975 km
Neptune,1.0199999999999999e+26 kg,49528,1638,11.0,23.5,16.1,16.1,4515.0,44711000000.0 km,45589000000.0 km,45150000000.0 km,59800.0 yr,5.4,1.8,0.01,28.3,-200,,16,Yes,Yes,0.0003310742309917116,298.8745748237445 km,304.7436423170962 km,301.80910857042034 km
Pluto,1.3e+22 kg,2376,1850,0.7,1.3,-153.3,153.3,5906.4,44368000000.0 km,73759000000.0 km,59063500000.0 km,90560.0 yr,4.7,17.2,0.244,119.5,-225,1e-05,5,No,Unknown,1.588257900250983e-05,296.5817614408064 km,493.04846155139836 km,394.81511149610236 km
